X,feature_types,gene_id,is_gene_coding
PGD,GEX,ENSG00000142657,1
DFFA,GEX,ENSG00000160049,1
PEX14,GEX,ENSG00000142655,1
CASZ1,GEX,ENSG00000130940,1
TARDBP,GEX,ENSG00000120948,1
AL109811.2,GEX,ENSG00000271895,0
SRM,GEX,ENSG00000116649,1
EXOSC10,GEX,ENSG00000171824,1
MTOR,GEX,ENSG00000198793,1
UBIAD1,GEX,ENSG00000120942,1
FBXO44,GEX,ENSG00000132879,1
FBXO6,GEX,ENSG00000116663,1
MAD2L2,GEX,ENSG00000116670,1
DRAXIN,GEX,ENSG00000162490,1
AGTRAP,GEX,ENSG00000177674,1
MTHFR,GEX,ENSG00000177000,1
CLCN6,GEX,ENSG00000011021,1
AL021155.5,GEX,ENSG00000285646,0
KIAA2013,GEX,ENSG00000116685,1
PLOD1,GEX,ENSG00000083444,1
MFN2,GEX,ENSG00000116688,1
MIIP,GEX,ENSG00000116691,1
TNFRSF8,GEX,ENSG00000120949,1
TNFRSF1B,GEX,ENSG00000028137,1
VPS13D,GEX,ENSG00000048707,1
DHRS3,GEX,ENSG00000162496,1
PRDM2,GEX,ENSG00000116731,1
KAZN,GEX,ENSG00000189337,1
FHAD1,GEX,ENSG00000142621,1
EFHD2,GEX,ENSG00000142634,1
CASP9,GEX,ENSG00000132906,1
DNAJC16,GEX,ENSG00000116138,1
AGMAT,GEX,ENSG00000116771,1
DDI2,GEX,ENSG00000197312,1
PLEKHM2,GEX,ENSG00000116786,1
AL450998.2,GEX,ENSG00000179743,0
SPEN,GEX,ENSG00000065526,1
ZBTB17,GEX,ENSG00000116809,1
ARHGEF19,GEX,ENSG00000142632,1
CPLANE2,GEX,ENSG00000132881,1
FBXO42,GEX,ENSG00000037637,1
SZRD1,GEX,ENSG00000055070,1
SPATA21,GEX,ENSG00000187144,1
NECAP2,GEX,ENSG00000157191,1
LINC01772,GEX,ENSG00000226029,0
NBPF1,GEX,ENSG00000219481,1
CROCC,GEX,ENSG00000058453,1
AL049569.1,GEX,ENSG00000226526,0
ATP13A2,GEX,ENSG00000159363,1
SDHB,GEX,ENSG00000117118,1
PADI2,GEX,ENSG00000117115,1
PADI4,GEX,ENSG00000159339,1
RCC2,GEX,ENSG00000179051,1
ARHGEF10L,GEX,ENSG00000074964,1
ALDH4A1,GEX,ENSG00000159423,1
IFFO2,GEX,ENSG00000169991,1
UBR4,GEX,ENSG00000127481,1
EMC1-AS1,GEX,ENSG00000230424,0
EMC1,GEX,ENSG00000127463,1
MRTO4,GEX,ENSG00000053372,1
AKR7A2,GEX,ENSG00000053371,1
SLC66A1,GEX,ENSG00000040487,1
CAPZB,GEX,ENSG00000077549,1
MICOS10,GEX,ENSG00000173436,1
AL031727.2,GEX,ENSG00000235185,0
NBL1,GEX,ENSG00000158747,1
TMCO4,GEX,ENSG00000162542,1
OTUD3,GEX,ENSG00000169914,1
UBXN10,GEX,ENSG00000162543,1
MUL1,GEX,ENSG00000090432,1
CDA,GEX,ENSG00000158825,1
PINK1,GEX,ENSG00000158828,1
PINK1-AS,GEX,ENSG00000117242,0
DDOST,GEX,ENSG00000244038,1
HP1BP3,GEX,ENSG00000127483,1
EIF4G3,GEX,ENSG00000075151,1
ECE1,GEX,ENSG00000117298,1
NBPF3,GEX,ENSG00000142794,1
USP48,GEX,ENSG00000090686,1
HSPG2,GEX,ENSG00000142798,1
LINC00339,GEX,ENSG00000218510,0
CDC42,GEX,ENSG00000070831,1
CDC42-AS1,GEX,ENSG00000285752,0
CDC42-IT1,GEX,ENSG00000230068,0
ZBTB40,GEX,ENSG00000184677,1
EPHB2,GEX,ENSG00000133216,1
KDM1A,GEX,ENSG00000004487,1
AL031428.1,GEX,ENSG00000240553,0
LUZP1,GEX,ENSG00000169641,1
LINC01355,GEX,ENSG00000261326,0
HNRNPR,GEX,ENSG00000125944,1
TCEA3,GEX,ENSG00000204219,1
E2F2,GEX,ENSG00000007968,1
MDS2,GEX,ENSG00000197880,0
RPL11,GEX,ENSG00000142676,1
ELOA-AS1,GEX,ENSG00000236810,0
ELOA,GEX,ENSG00000011007,1
PITHD1,GEX,ENSG00000057757,1
LYPLA2,GEX,ENSG00000011009,1
GALE,GEX,ENSG00000117308,1
HMGCL,GEX,ENSG00000117305,1
FUCA1,GEX,ENSG00000179163,1
CNR2,GEX,ENSG00000188822,1
PNRC2,GEX,ENSG00000189266,1
SRSF10,GEX,ENSG00000188529,1
IFNLR1,GEX,ENSG00000185436,1
STPG1,GEX,ENSG00000001460,1
NIPAL3,GEX,ENSG00000001461,1
RCAN3AS,GEX,ENSG00000286061,0
RCAN3,GEX,ENSG00000117602,1
SRRM1,GEX,ENSG00000133226,1
CLIC4,GEX,ENSG00000169504,1
RUNX3,GEX,ENSG00000020633,1
SYF2,GEX,ENSG00000117614,1
RSRP1,GEX,ENSG00000117616,1
RHD,GEX,ENSG00000187010,1
TMEM50A,GEX,ENSG00000183726,1
RHCE,GEX,ENSG00000188672,1
MACO1,GEX,ENSG00000204178,1
LDLRAP1,GEX,ENSG00000157978,1
AL606491.1,GEX,ENSG00000225643,0
MAN1C1,GEX,ENSG00000117643,1
SELENON,GEX,ENSG00000162430,1
MTFR1L,GEX,ENSG00000117640,1
AUNIP,GEX,ENSG00000127423,1
STMN1,GEX,ENSG00000117632,1
PAFAH2,GEX,ENSG00000158006,1
PDIK1L,GEX,ENSG00000175087,1
ZNF593,GEX,ENSG00000142684,1
CEP85,GEX,ENSG00000130695,1
SH3BGRL3,GEX,ENSG00000142669,1
UBXN11,GEX,ENSG00000158062,1
CD52,GEX,ENSG00000169442,1
CRYBG2,GEX,ENSG00000176092,1
DHDDS,GEX,ENSG00000117682,1
AL513365.2,GEX,ENSG00000225891,0
HMGN2,GEX,ENSG00000198830,1
RPS6KA1,GEX,ENSG00000117676,1
ARID1A,GEX,ENSG00000117713,1
PIGV,GEX,ENSG00000060642,1
ZDHHC18,GEX,ENSG00000204160,1
GPN2,GEX,ENSG00000142751,1
GPATCH3,GEX,ENSG00000198746,1
NUDC,GEX,ENSG00000090273,1
SLC9A1,GEX,ENSG00000090020,1
WDTC1,GEX,ENSG00000142784,1
TMEM222,GEX,ENSG00000186501,1
SYTL1,GEX,ENSG00000142765,1
MAP3K6,GEX,ENSG00000142733,1
WASF2,GEX,ENSG00000158195,1
AHDC1,GEX,ENSG00000126705,1
FGR,GEX,ENSG00000000938,1
IFI6,GEX,ENSG00000126709,1
FAM76A,GEX,ENSG00000009780,1
STX12,GEX,ENSG00000117758,1
PPP1R8,GEX,ENSG00000117751,1
THEMIS2,GEX,ENSG00000130775,1
RPA2,GEX,ENSG00000117748,1
SMPDL3B,GEX,ENSG00000130768,1
XKR8,GEX,ENSG00000158156,1
EYA3,GEX,ENSG00000158161,1
PTAFR,GEX,ENSG00000169403,1
DNAJC8,GEX,ENSG00000126698,1
ATP5IF1,GEX,ENSG00000130770,1
AL353622.1,GEX,ENSG00000270605,0
SESN2,GEX,ENSG00000130766,1
MED18,GEX,ENSG00000130772,1
PHACTR4,GEX,ENSG00000204138,1
RCC1,GEX,ENSG00000180198,1
SNHG3,GEX,ENSG00000242125,0
TRNAU1AP,GEX,ENSG00000180098,1
SNHG12,GEX,ENSG00000197989,0
TAF12,GEX,ENSG00000120656,1
AL360012.1,GEX,ENSG00000270103,0
GMEB1,GEX,ENSG00000162419,1
YTHDF2,GEX,ENSG00000198492,1
EPB41,GEX,ENSG00000159023,1
SRSF4,GEX,ENSG00000116350,1
MECR,GEX,ENSG00000116353,1
MATN1-AS1,GEX,ENSG00000186056,0
LAPTM5,GEX,ENSG00000162511,1
PUM1,GEX,ENSG00000134644,1
SNRNP40,GEX,ENSG00000060688,1
ZCCHC17,GEX,ENSG00000121766,1
AL451070.1,GEX,ENSG00000229044,0
LINC01226,GEX,ENSG00000284543,0
PEF1,GEX,ENSG00000162517,1
AL136115.2,GEX,ENSG00000269967,0
PTP4A2,GEX,ENSG00000184007,1
KHDRBS1,GEX,ENSG00000121774,1
AL445248.1,GEX,ENSG00000203325,0
TMEM39B,GEX,ENSG00000121775,1
KPNA6,GEX,ENSG00000025800,1
TXLNA,GEX,ENSG00000084652,1
CCDC28B,GEX,ENSG00000160050,1
TMEM234,GEX,ENSG00000160055,1
EIF3I,GEX,ENSG00000084623,1
LCK,GEX,ENSG00000182866,1
HDAC1,GEX,ENSG00000116478,1
MARCKSL1,GEX,ENSG00000175130,1
FAM229A,GEX,ENSG00000225828,1
BSDC1,GEX,ENSG00000160058,1
ZBTB8A,GEX,ENSG00000160062,1
ZBTB8OS,GEX,ENSG00000176261,1
RBBP4,GEX,ENSG00000162521,1
SYNC,GEX,ENSG00000162520,1
KIAA1522,GEX,ENSG00000162522,1
YARS,GEX,ENSG00000134684,1
S100PBP,GEX,ENSG00000116497,1
RNF19B,GEX,ENSG00000116514,1
AL020995.1,GEX,ENSG00000236065,0
AK2,GEX,ENSG00000004455,1
AZIN2,GEX,ENSG00000142920,1
TRIM62,GEX,ENSG00000116525,1
ZNF362,GEX,ENSG00000160094,1
AL513327.1,GEX,ENSG00000225313,0
PHC2,GEX,ENSG00000134686,1
SMIM12,GEX,ENSG00000163866,1
TMEM35B,GEX,ENSG00000243749,1
ZMYM6,GEX,ENSG00000163867,1
ZMYM1,GEX,ENSG00000197056,1
SFPQ,GEX,ENSG00000116560,1
ZMYM4,GEX,ENSG00000146463,1
KIAA0319L,GEX,ENSG00000142687,1
NCDN,GEX,ENSG00000020129,1
AC004865.2,GEX,ENSG00000239636,0
TFAP2E,GEX,ENSG00000116819,1
PSMB2,GEX,ENSG00000126067,1
CLSPN,GEX,ENSG00000092853,1
AGO4,GEX,ENSG00000134698,1
AGO1,GEX,ENSG00000092847,1
AGO3,GEX,ENSG00000126070,1
AL138787.2,GEX,ENSG00000271554,0
ADPRHL2,GEX,ENSG00000116863,1
TRAPPC3,GEX,ENSG00000054116,1
MAP7D1,GEX,ENSG00000116871,1
THRAP3,GEX,ENSG00000054118,1
SH3D21,GEX,ENSG00000214193,1
STK40,GEX,ENSG00000196182,1
LSM10,GEX,ENSG00000181817,1
OSCP1,GEX,ENSG00000116885,1
MRPS15,GEX,ENSG00000116898,1
CSF3R,GEX,ENSG00000119535,1
LINC01137,GEX,ENSG00000233621,0
ZC3H12A,GEX,ENSG00000163874,1
MEAF6,GEX,ENSG00000163875,1
SNIP1,GEX,ENSG00000163877,1
GNL2,GEX,ENSG00000134697,1
C1orf109,GEX,ENSG00000116922,1
CDCA8,GEX,ENSG00000134690,1
YRDC,GEX,ENSG00000196449,1
C1orf122,GEX,ENSG00000197982,1
MTF1,GEX,ENSG00000188786,1
INPP5B,GEX,ENSG00000204084,1
SF3A3,GEX,ENSG00000183431,1
UTP11,GEX,ENSG00000183520,1
RRAGC,GEX,ENSG00000116954,1
AL139260.1,GEX,ENSG00000228436,0
MYCBP,GEX,ENSG00000214114,1
AKIRIN1,GEX,ENSG00000174574,1
NDUFS5,GEX,ENSG00000168653,1
MACF1,GEX,ENSG00000127603,1
PABPC4,GEX,ENSG00000090621,1
PPIE,GEX,ENSG00000084072,1
AL033527.4,GEX,ENSG00000284719,0
TRIT1,GEX,ENSG00000043514,1
MFSD2A,GEX,ENSG00000168389,1
CAP1,GEX,ENSG00000131236,1
PPT1,GEX,ENSG00000131238,1
RLF,GEX,ENSG00000117000,1
ZMPSTE24,GEX,ENSG00000084073,1
COL9A2,GEX,ENSG00000049089,1
SMAP2,GEX,ENSG00000084070,1
ZFP69B,GEX,ENSG00000187801,1
ZFP69,GEX,ENSG00000187815,1
AL603839.3,GEX,ENSG00000238287,0
EXO5,GEX,ENSG00000164002,1
ZNF684,GEX,ENSG00000117010,1
RIMS3,GEX,ENSG00000117016,1
NFYC-AS1,GEX,ENSG00000272145,0
NFYC,GEX,ENSG00000066136,1
CITED4,GEX,ENSG00000179862,1
CTPS1,GEX,ENSG00000171793,1
SLFNL1-AS1,GEX,ENSG00000281207,0
SCMH1,GEX,ENSG00000010803,1
HIVEP3,GEX,ENSG00000127124,1
FOXJ3,GEX,ENSG00000198815,1
PPCS,GEX,ENSG00000127125,1
CCDC30,GEX,ENSG00000186409,1
PPIH,GEX,ENSG00000171960,1
AC098484.4,GEX,ENSG00000285728,0
YBX1,GEX,ENSG00000065978,1
P3H1,GEX,ENSG00000117385,1
C1orf50,GEX,ENSG00000164008,1
SVBP,GEX,ENSG00000177868,1
ERMAP,GEX,ENSG00000164010,1
SLC2A1,GEX,ENSG00000117394,1
SLC2A1-AS1,GEX,ENSG00000227533,0
EBNA1BP2,GEX,ENSG00000117395,1
CDC20,GEX,ENSG00000117399,1
ELOVL1,GEX,ENSG00000066322,1
MED8,GEX,ENSG00000159479,1
SZT2,GEX,ENSG00000198198,1
HYI,GEX,ENSG00000178922,1
KDM4A,GEX,ENSG00000066135,1
KDM4A-AS1,GEX,ENSG00000236200,0
ST3GAL3,GEX,ENSG00000126091,1
IPO13,GEX,ENSG00000117408,1
DPH2,GEX,ENSG00000132768,1
ATP6V0B,GEX,ENSG00000117410,1
B4GALT2,GEX,ENSG00000117411,1
SLC6A9,GEX,ENSG00000196517,1
DMAP1,GEX,ENSG00000178028,1
ERI3,GEX,ENSG00000117419,1
RNF220,GEX,ENSG00000187147,1
TMEM53,GEX,ENSG00000126106,1
ARMH1,GEX,ENSG00000198520,1
KIF2C,GEX,ENSG00000142945,1
AL592166.1,GEX,ENSG00000225721,0
RPS8,GEX,ENSG00000142937,1
PLK3,GEX,ENSG00000173846,1
BTBD19,GEX,ENSG00000222009,1
PTCH2,GEX,ENSG00000117425,1
EIF2B3,GEX,ENSG00000070785,1
HECTD3,GEX,ENSG00000126107,1
UROD,GEX,ENSG00000126088,1
ZSWIM5,GEX,ENSG00000162415,1
MUTYH,GEX,ENSG00000132781,1
TOE1,GEX,ENSG00000132773,1
TESK2,GEX,ENSG00000070759,1
MMACHC,GEX,ENSG00000132763,1
PRDX1,GEX,ENSG00000117450,1
AKR1A1,GEX,ENSG00000117448,1
NASP,GEX,ENSG00000132780,1
GPBP1L1,GEX,ENSG00000159592,1
TMEM69,GEX,ENSG00000159596,1
IPP,GEX,ENSG00000197429,1
MAST2,GEX,ENSG00000086015,1
PIK3R3,GEX,ENSG00000117461,1
POMGNT1,GEX,ENSG00000085998,1
RAD54L,GEX,ENSG00000085999,1
LRRC41,GEX,ENSG00000132128,1
UQCRH,GEX,ENSG00000173660,1
NSUN4,GEX,ENSG00000117481,1
FAAH,GEX,ENSG00000117480,1
MKNK1,GEX,ENSG00000079277,1
MOB3C,GEX,ENSG00000142961,1
ATPAF1,GEX,ENSG00000123472,1
EFCAB14,GEX,ENSG00000159658,1
TAL1,GEX,ENSG00000162367,1
STIL,GEX,ENSG00000123473,1
CMPK1,GEX,ENSG00000162368,1
LINC01389,GEX,ENSG00000225762,0
SPATA6,GEX,ENSG00000132122,1
AGBL4,GEX,ENSG00000186094,1
FAF1,GEX,ENSG00000185104,1
CDKN2C,GEX,ENSG00000123080,1
RNF11,GEX,ENSG00000123091,1
EPS15,GEX,ENSG00000085832,1
AC104170.1,GEX,ENSG00000227070,0
OSBPL9,GEX,ENSG00000117859,1
NRDC,GEX,ENSG00000078618,1
TXNDC12,GEX,ENSG00000117862,1
KTI12,GEX,ENSG00000198841,1
BTF3L4,GEX,ENSG00000134717,1
ZFYVE9,GEX,ENSG00000157077,1
CC2D1B,GEX,ENSG00000154222,1
ORC1,GEX,ENSG00000085840,1
PRPF38A,GEX,ENSG00000134748,1
TUT4,GEX,ENSG00000134744,1
GPX7,GEX,ENSG00000116157,1
SHISAL2A,GEX,ENSG00000182183,1
COA7,GEX,ENSG00000162377,1
ZYG11B,GEX,ENSG00000162378,1
ECHDC2,GEX,ENSG00000121310,1
SCP2,GEX,ENSG00000116171,1
CPT2,GEX,ENSG00000157184,1
CZIB,GEX,ENSG00000162384,1
MAGOH,GEX,ENSG00000162385,1
LRP8,GEX,ENSG00000157193,1
NDC1,GEX,ENSG00000058804,1
YIPF1,GEX,ENSG00000058799,1
HSPB11,GEX,ENSG00000081870,1
LRRC42,GEX,ENSG00000116212,1
TMEM59,GEX,ENSG00000116209,1
TCEANC2,GEX,ENSG00000116205,1
CYB5RL,GEX,ENSG00000215883,1
MRPL37,GEX,ENSG00000116221,1
SSBP3,GEX,ENSG00000157216,1
ACOT11,GEX,ENSG00000162390,1
TTC4,GEX,ENSG00000243725,1
TTC22,GEX,ENSG00000006555,1
LEXM,GEX,ENSG00000162398,1
USP24,GEX,ENSG00000162402,1
MIR4422HG,GEX,ENSG00000231090,0
DAB1,GEX,ENSG00000173406,1
OMA1,GEX,ENSG00000162600,1
MYSM1,GEX,ENSG00000162601,1
JUN,GEX,ENSG00000177606,1
LINC01135,GEX,ENSG00000234807,0
LINC01358,GEX,ENSG00000237352,0
FGGY,GEX,ENSG00000172456,1
HOOK1,GEX,ENSG00000134709,1
NFIA,GEX,ENSG00000162599,1
TM2D1,GEX,ENSG00000162604,1
PATJ,GEX,ENSG00000132849,1
USP1,GEX,ENSG00000162607,1
DOCK7,GEX,ENSG00000116641,1
ATG4C,GEX,ENSG00000125703,1
ALG6,GEX,ENSG00000088035,1
ITGB3BP,GEX,ENSG00000142856,1
EFCAB7,GEX,ENSG00000203965,1
DLEU2L,GEX,ENSG00000116652,0
PGM1,GEX,ENSG00000079739,1
ROR1,GEX,ENSG00000185483,1
CACHD1,GEX,ENSG00000158966,1
RAVER2,GEX,ENSG00000162437,1
JAK1,GEX,ENSG00000162434,1
AK4,GEX,ENSG00000162433,1
DNAJC6,GEX,ENSG00000116675,1
AL139294.1,GEX,ENSG00000229294,0
LEPROT,GEX,ENSG00000213625,1
LEPR,GEX,ENSG00000116678,1
PDE4B,GEX,ENSG00000184588,1
TCTEX1D1,GEX,ENSG00000152760,1
WDR78,GEX,ENSG00000152763,1
MIER1,GEX,ENSG00000198160,1
SLC35D1,GEX,ENSG00000116704,1
IL23R,GEX,ENSG00000162594,1
IL12RB2,GEX,ENSG00000081985,1
SERBP1,GEX,ENSG00000142864,1
GADD45A,GEX,ENSG00000116717,1
WLS,GEX,ENSG00000116729,1
DEPDC1,GEX,ENSG00000024526,1
LRRC7,GEX,ENSG00000033122,1
LRRC40,GEX,ENSG00000066557,1
SRSF11,GEX,ENSG00000116754,1
ANKRD13C,GEX,ENSG00000118454,1
CTH,GEX,ENSG00000116761,1
ZRANB2,GEX,ENSG00000132485,1
ZRANB2-AS2,GEX,ENSG00000229956,0
NEGR1,GEX,ENSG00000172260,1
AL513166.1,GEX,ENSG00000286863,0
FPGT,GEX,ENSG00000254685,1
TNNI3K,GEX,ENSG00000116783,1
CRYZ,GEX,ENSG00000116791,1
TYW3,GEX,ENSG00000162623,1
ACADM,GEX,ENSG00000117054,1
RABGGTB,GEX,ENSG00000137955,1
ST6GALNAC3,GEX,ENSG00000184005,1
PIGK,GEX,ENSG00000142892,1
AK5,GEX,ENSG00000154027,1
AC118549.1,GEX,ENSG00000036549,1
USP33,GEX,ENSG00000077254,1
MIGA1,GEX,ENSG00000180488,1
NEXN,GEX,ENSG00000162614,1
FUBP1,GEX,ENSG00000162613,1
DNAJB4,GEX,ENSG00000162616,1
GIPC2,GEX,ENSG00000137960,1
AC103591.3,GEX,ENSG00000273338,0
IFI44L,GEX,ENSG00000137959,1
IFI44,GEX,ENSG00000137965,1
LINC01362,GEX,ENSG00000230817,0
LINC01725,GEX,ENSG00000233008,0
TTLL7,GEX,ENSG00000137941,1
PRKACB,GEX,ENSG00000142875,1
RPF1,GEX,ENSG00000117133,1
GNG5,GEX,ENSG00000174021,1
SPATA1,GEX,ENSG00000122432,1
CTBS,GEX,ENSG00000117151,1
AL359762.1,GEX,ENSG00000284882,0
SSX2IP,GEX,ENSG00000117155,1
MCOLN2,GEX,ENSG00000153898,1
WDR63,GEX,ENSG00000162643,1
SYDE2,GEX,ENSG00000097096,1
C1orf52,GEX,ENSG00000162642,1
BCL10,GEX,ENSG00000142867,1
AL078459.1,GEX,ENSG00000223653,0
ZNHIT6,GEX,ENSG00000117174,1
COL24A1,GEX,ENSG00000171502,1
ODF2L,GEX,ENSG00000122417,1
SH3GLB1,GEX,ENSG00000097033,1
SELENOF,GEX,ENSG00000183291,1
HS2ST1,GEX,ENSG00000153936,1
LMO4,GEX,ENSG00000143013,1
PKN2-AS1,GEX,ENSG00000237505,0
PKN2,GEX,ENSG00000065243,1
GTF2B,GEX,ENSG00000137947,1
KYAT3,GEX,ENSG00000137944,1
RBMXL1,GEX,ENSG00000213516,1
GBP3,GEX,ENSG00000117226,1
GBP1,GEX,ENSG00000117228,1
GBP2,GEX,ENSG00000162645,1
GBP4,GEX,ENSG00000162654,1
GBP5,GEX,ENSG00000154451,1
AL596214.1,GEX,ENSG00000286548,0
LRRC8B,GEX,ENSG00000197147,1
LRRC8C-DT,GEX,ENSG00000231999,0
LRRC8C,GEX,ENSG00000171488,1
LRRC8D,GEX,ENSG00000171492,1
ZNF326,GEX,ENSG00000162664,1
ZNF644,GEX,ENSG00000122482,1
HFM1,GEX,ENSG00000162669,1
CDC7,GEX,ENSG00000097046,1
TGFBR3,GEX,ENSG00000069702,1
BTBD8,GEX,ENSG00000189195,1
GLMN,GEX,ENSG00000174842,1
RPAP2,GEX,ENSG00000122484,1
GFI1,GEX,ENSG00000162676,1
EVI5,GEX,ENSG00000067208,1
RPL5,GEX,ENSG00000122406,1
DIPK1A,GEX,ENSG00000154511,1
MTF2,GEX,ENSG00000143033,1
TMED5,GEX,ENSG00000117500,1
CCDC18,GEX,ENSG00000122483,1
CCDC18-AS1,GEX,ENSG00000223745,0
DR1,GEX,ENSG00000117505,1
FNBP1L,GEX,ENSG00000137942,1
BCAR3,GEX,ENSG00000137936,1
DNTTIP2,GEX,ENSG00000067334,1
GCLM,GEX,ENSG00000023909,1
ABCD3,GEX,ENSG00000117528,1
ALG14,GEX,ENSG00000172339,1
TLCD4,GEX,ENSG00000152078,1
AC092802.1,GEX,ENSG00000226026,0
RWDD3,GEX,ENSG00000122481,1
PTBP2,GEX,ENSG00000117569,1
DPYD,GEX,ENSG00000188641,1
DPYD-AS1,GEX,ENSG00000232878,0
FRRS1,GEX,ENSG00000156869,1
AGL,GEX,ENSG00000162688,1
SLC35A3,GEX,ENSG00000117620,1
MFSD14A,GEX,ENSG00000156875,1
AC093019.2,GEX,ENSG00000241073,0
SASS6,GEX,ENSG00000156876,1
TRMT13,GEX,ENSG00000122435,1
LRRC39,GEX,ENSG00000122477,1
DBT,GEX,ENSG00000137992,1
AL445928.2,GEX,ENSG00000285530,0
RTCA-AS1,GEX,ENSG00000224616,0
RTCA,GEX,ENSG00000137996,1
CDC14A,GEX,ENSG00000079335,1
AL589990.1,GEX,ENSG00000228086,0
EXTL2,GEX,ENSG00000162694,1
SLC30A7,GEX,ENSG00000162695,1
DPH5,GEX,ENSG00000117543,1
AC093157.1,GEX,ENSG00000233184,0
S1PR1,GEX,ENSG00000170989,1
RNPC3,GEX,ENSG00000185946,1
AMY2B,GEX,ENSG00000240038,1
NTNG1,GEX,ENSG00000162631,1
VAV3,GEX,ENSG00000134215,1
VAV3-AS1,GEX,ENSG00000230489,0
LINC02785,GEX,ENSG00000226822,0
SLC25A24,GEX,ENSG00000085491,1
FAM102B,GEX,ENSG00000162636,1
HENMT1,GEX,ENSG00000162639,1
PRPF38B,GEX,ENSG00000134186,1
STXBP3,GEX,ENSG00000116266,1
AKNAD1,GEX,ENSG00000162641,1
GPSM2,GEX,ENSG00000121957,1
CLCC1,GEX,ENSG00000121940,1
WDR47,GEX,ENSG00000085433,1
TAF13,GEX,ENSG00000197780,1
TMEM167B,GEX,ENSG00000215717,1
AL356488.2,GEX,ENSG00000270066,0
KIAA1324,GEX,ENSG00000116299,1
SARS,GEX,ENSG00000031698,1
SORT1,GEX,ENSG00000134243,1
PSMA5,GEX,ENSG00000143106,1
ATXN7L2,GEX,ENSG00000162650,1
CYB561D1,GEX,ENSG00000174151,1
GNAI3,GEX,ENSG00000065135,1
AMPD2,GEX,ENSG00000116337,1
GSTM2,GEX,ENSG00000213366,1
