"","x"
"447","Memory B"
"448","CD8 memory"
"449","CD56dim CD16bright NK"
"450","CD8 effector"
"451","Classical monocytes"
"452","Classical monocytes"
"453","CD56dim CD16bright NK"
"454","Regulatory T cells"
"455","CD4 naive II"
"456","CD56dim CD16bright NK"
"457","CD4 memory"
"458","Naive B"
"459","CD8 naive"
"460","CD4 memory"
"461","CD4 memory"
"462","CD4 memory"
"463","MAIT-NKT cells"
"464","CD4 memory"
"465","CD56bright CD16dim NK"
"466","Classical monocytes"
"467","CD4 naive I"
"468","Naive B"
"469","CD4 naive I"
"470","Naive B"
"471","CD4 naive I"
"472","CD56dim CD16bright NK"
"473","Naive B"
"474","CD4 naive I"
"475","Platelet-bound monocytes"
"476","Naive B"
"477","CD8 naive"
"478","CD8 memory"
"479","Neutrophils"
"480","CD4 memory"
"481","CD8 effector"
"482","gdT cells"
"483","CD4 and CD8 activated memory"
"484","Neutrophils"
"485","CD4 memory"
"486","MAIT-NKT cells"
"487","CD8 naive"
"488","NK-monocyte doublets"
"489","CD4 memory"
"490","Classical monocytes"
"491","CD56dim CD16bright NK"
"492","CD4 naive II"
"493","CD8 naive"
"494","NK-monocyte doublets"
"495","Classical monocytes"
"496","NK-T doublets"
"497","CD8 memory"
"498","CD8 effector"
"499","CD4 memory"
"500","Classical monocytes"
"501","Classical monocytes"
"502","MAIT-NKT cells"
"503","Classical monocytes"
"504","MAIT-NKT cells"
"505","CD56dim CD16bright NK"
"506","CD4 naive II"
"507","gdT cells"
"508","MAIT-NKT cells"
"509","Classical monocytes"
"510","CD4 memory"
"511","Regulatory T cells"
"512","CD8 effector"
"513","CD8 effector"
"514","CD4 naive I"
"515","CD56dim CD16bright NK"
"516","CD4 naive I"
"517","Memory B"
"518","CD4 memory"
"519","CD4 naive I"
"520","CD4 memory"
"521","Naive B"
"522","gdT cells"
"523","Naive B"
"524","MAIT-NKT cells"
"525","Naive B"
"526","CD56bright CD16dim NK"
"527","Classical monocytes"
"528","CD4 naive II"
"529","CD4 naive I"
"530","CD56dim CD16bright NK"
"531","CD8 effector"
"532","CD56dim CD16bright NK"
"533","CD56dim CD16bright NK"
"534","Non classical monocytes"
"535","plasmacytoid DC"
"536","CD56dim CD16bright NK"
"537","CD8 effector"
"538","Naive B"
"539","CD8 naive"
"540","Regulatory T cells"
"541","gdT cells"
"542","CD8 naive"
"543","CD8 naive"
"544","Non classical monocytes"
"545","CD4 naive I"
"546","CD4 memory"
"547","gdT cells"
"548","Non classical monocytes"
"549","Naive B"
"550","CD4 naive I"
"551","CD56dim CD16bright NK"
"552","CD4 naive I"
"553","Neutrophils"
"554","CD56dim CD16bright NK"
"555","Platelet-bound monocytes"
"556","Naive B"
"557","CD4 memory"
"558","CD56dim CD16bright NK"
"559","Classical monocytes"
"560","Classical monocytes"
"561","CD56dim CD16bright NK"
"562","gdT cells"
"563","CD56dim CD16bright NK"
"564","Classical monocytes"
"565","CD56bright CD16dim NK"
"566","CD8 effector"
"567","NK-T doublets"
"568","Classical monocytes"
"569","CD4 memory"
"570","conventional DC"
"571","Naive B"
"572","CD4 memory"
"573","CD8 memory"
"574","Naive B"
"575","Non classical monocytes"
"576","Classical monocytes"
"577","T-NK-B cell doublets"
"578","CD4 naive II"
"579","CD56dim CD16bright NK"
"580","CD4 naive II"
"581","CD8 memory"
"582","CD4 naive II"
"583","Platelet-bound monocytes"
"584","CD56dim CD16bright NK"
"585","Regulatory T cells"
"586","Platelet-bound monocytes"
"587","Platelets"
"588","CD56dim CD16bright NK"
"589","CD8 naive"
"590","Naive B"
"591","CD4 memory"
"592","gdT cells"
"593","Memory B"
"594","CD4 memory"
"595","CD4 memory"
"596","Classical monocytes"
"597","Platelet-bound monocytes"
"598","gdT cells"
"599","CD4 naive I"
"600","Memory B"
"601","CD4 naive II"
"602","CD4 memory"
"603","CD56dim CD16bright NK"
"604","CD8 memory"
"605","Naive B"
"606","CD4 memory"
"607","CD56dim CD16bright NK"
"608","Regulatory T cells"
"609","CD56dim CD16bright NK"
"610","Regulatory T cells"
"611","CD56dim CD16bright NK"
"612","gdT cells"
"613","T-NK-B cell doublets"
"614","T-NK-B cell doublets"
"615","Naive B"
"616","CD56dim CD16bright NK"
"617","CD56dim CD16bright NK"
"618","CD56dim CD16bright NK"
"619","Naive B"
"620","Neutrophils"
"621","CD56dim CD16bright NK"
"622","CD4 memory"
"623","CD4 naive I"
"624","CD56dim CD16bright NK"
"625","CD8 effector"
"626","Naive B"
"627","Non classical monocytes"
"628","CD4 naive I"
"629","Naive B"
"630","Neutrophils"
"631","CD4 naive II"
"632","CD56dim CD16bright NK"
"633","Neutrophils"
"634","Non classical monocytes"
"635","CD8 effector"
"636","CD8 memory"
"637","CD56dim CD16bright NK"
"638","CD4 memory"
"639","CD4 naive I"
"640","Naive B"
"641","CD8 effector"
"642","CD4 naive I"
"643","CD56dim CD16bright NK"
"644","CD4 naive II"
"645","MAIT-NKT cells"
"646","gdT cells"
"647","CD56dim CD16bright NK"
"648","CD4 and CD8 activated memory"
"649","CD4 memory"
"650","CD56dim CD16bright NK"
"651","CD8 naive"
"652","gdT cells"
"653","CD8 naive"
"654","MAIT-NKT cells"
"655","CD56dim CD16bright NK"
"656","Classical monocytes"
"657","CD56dim CD16bright NK"
"658","Naive B"
"659","Regulatory T cells"
"660","Platelet-bound monocytes"
"661","CD4 naive I"
"662","CD4 memory"
"663","Neutrophils"
"664","Non classical monocytes"
"665","Classical monocytes"
"666","CD4 naive I"
"667","Classical monocytes"
"668","CD4 naive I"
"669","NK-monocyte doublets"
"670","Platelet-bound monocytes"
"671","Naive B"
"672","CD56dim CD16bright NK"
"673","CD8 memory"
"674","Platelet-bound monocytes"
"675","MAIT-NKT cells"
"676","CD8 effector"
"677","CD56bright CD16dim NK"
"678","Platelet-bound monocytes"
"679","Non classical monocytes"
"680","CD4 naive II"
"681","CD56dim CD16bright NK"
"682","CD56dim CD16bright NK"
"683","CD4 memory"
"684","CD8 effector"
"685","CD8 effector"
"686","CD8 effector"
"687","CD4 memory"
"688","CD56dim CD16bright NK"
"689","CD8 naive"
"690","CD8 naive"
"691","Memory B"
"692","CD56dim CD16bright NK"
"693","CD56dim CD16bright NK"
"694","gdT cells"
"695","CD56dim CD16bright NK"
"696","CD8 effector"
"697","CD4 and CD8 activated memory"
"698","Proliferating T and NK cell"
"699","Classical monocytes"
"700","Classical monocytes"
"701","CD56dim CD16bright NK"
"702","NK-monocyte doublets"
"703","T-NK-B cell doublets"
"704","CD4 and CD8 activated memory"
"705","CD56dim CD16bright NK"
"706","Classical monocytes"
"707","gdT cells"
"708","Classical monocytes"
"709","T-NK-B cell doublets"
"710","plasmacytoid DC"
"711","Naive B"
"712","CD56dim CD16bright NK"
"713","CD4 memory"
"714","Non classical monocytes"
"715","CD4 naive I"
"716","CD4 naive II"
"717","CD4 naive II"
"718","Memory B"
"719","Regulatory T cells"
"720","Non classical monocytes"
"721","plasmacytoid DC"
"722","Naive B"
"723","CD8 memory"
"724","CD56dim CD16bright NK"
"725","Classical monocytes"
"726","conventional DC"
"727","NK-monocyte doublets"
"728","CD4 naive I"
"729","Neutrophils"
"730","CD4 memory"
"731","CD4 memory"
"732","Neutrophils"
"733","Naive B"
"734","CD4 naive I"
"735","CD56dim CD16bright NK"
"736","Non classical monocytes"
"737","Classical monocytes"
"738","MAIT-NKT cells"
"739","CD8 naive"
"740","CD56bright CD16dim NK"
"741","CD8 naive"
"742","CD4 memory"
"743","Neutrophils"
"744","MAIT-NKT cells"
"745","CD4 memory"
"746","NK-T doublets"
"747","CD56dim CD16bright NK"
"748","Memory B"
"749","CD56dim CD16bright NK"
"750","Classical monocytes"
"751","CD56dim CD16bright NK"
"752","CD56dim CD16bright NK"
"753","CD4 memory"
"754","CD56dim CD16bright NK"
"755","CD8 effector"
"756","CD8 memory"
"757","CD4 naive II"
"758","CD56dim CD16bright NK"
"759","CD4 naive I"
"760","CD56dim CD16bright NK"
"761","NK-monocyte doublets"
"762","CD56dim CD16bright NK"
"763","Naive B"
"764","CD4 naive I"
"765","CD4 memory"
"766","CD8 memory"
"767","NK-monocyte doublets"
"768","CD8 naive"
"769","Classical monocytes"
"770","Classical monocytes"
"771","Naive B"
"772","gdT cells"
"773","CD4 memory"
"774","NK-T doublets"
"775","CD56dim CD16bright NK"
"776","conventional DC"
"777","CD4 memory"
"778","CD4 naive I"
"779","CD4 memory"
"780","Classical monocytes"
"781","Classical monocytes"
"782","Classical monocytes"
"783","gdT cells"
"784","CD4 memory"
"785","CD8 naive"
"786","CD8 naive"
"787","CD56dim CD16bright NK"
"788","gdT cells"
"789","MAIT-NKT cells"
"790","gdT cells"
"791","Classical monocytes"
"792","CD4 memory"
"793","CD4 naive I"
"794","CD4 naive I"
"795","CD56dim CD16bright NK"
"796","Neutrophils"
"797","Non classical monocytes"
"798","CD4 naive II"
"799","CD4 naive I"
"800","MAIT-NKT cells"
"801","CD8 memory"
"802","CD56dim CD16bright NK"
"803","CD4 naive I"
"804","CD4 memory"
"805","Classical monocytes"
"806","Classical monocytes"
"807","CD8 effector"
"808","CD8 effector"
"809","Regulatory T cells"
"810","Naive B"
"811","CD56dim CD16bright NK"
"812","CD56dim CD16bright NK"
"813","CD56dim CD16bright NK"
"814","gdT cells"
"815","gdT cells"
"816","CD4 naive I"
"817","Memory B"
"818","CD4 naive I"
"819","NK-T doublets"
"820","CD4 naive I"
"821","Regulatory T cells"
"822","Classical monocytes"
"823","CD8 naive"
"824","Neutrophils"
"825","CD4 naive II"
"826","CD56dim CD16bright NK"
"827","CD8 memory"
"828","Classical monocytes"
"829","CD4 naive II"
"830","Memory B"
"831","CD56dim CD16bright NK"
"832","CD4 naive I"
"833","Regulatory T cells"
"834","CD8 memory"
"835","Neutrophils"
"836","Naive B"
"837","CD56dim CD16bright NK"
"838","CD8 naive"
"839","CD4 naive I"
"840","CD4 naive II"
"841","CD8 naive"
"842","plasmacytoid DC"
"843","Regulatory T cells"
"844","CD8 naive"
"845","CD8 effector"
"846","Classical monocytes"
"847","Naive B"
"848","CD4 memory"
"849","CD56dim CD16bright NK"
"850","Memory B"
"851","CD56bright CD16dim NK"
"852","CD8 effector"
"853","CD56dim CD16bright NK"
"854","CD4 memory"
"855","Classical monocytes"
"856","CD4 memory"
"857","CD4 memory"
"858","gdT cells"
"859","gdT cells"
"860","CD56dim CD16bright NK"
"861","CD56dim CD16bright NK"
"862","Classical monocytes"
"863","MAIT-NKT cells"
"864","CD4 naive I"
"865","CD4 naive II"
"866","CD4 naive II"
"867","Classical monocytes"
"868","CD4 naive I"
"869","Memory B"
"870","CD8 naive"
"871","Naive B"
"872","CD56dim CD16bright NK"
"873","CD8 effector"
"874","Regulatory T cells"
"875","Classical monocytes"
"876","Regulatory T cells"
"877","gdT cells"
"878","CD8 memory"
"879","Platelet-bound monocytes"
"880","Neutrophils"
"881","CD4 naive I"
"882","CD8 memory"
"883","CD4 naive I"
"884","CD4 naive I"
"885","CD4 naive I"
"886","CD56dim CD16bright NK"
"887","CD8 memory"
"888","CD8 effector"
"889","CD56bright CD16dim NK"
"890","Classical monocytes"
"891","CD8 effector"
"892","Memory B"
"893","Neutrophils"
"894","CD56dim CD16bright NK"
"895","CD8 memory"
"896","Neutrophils"
"897","CD4 naive I"
"898","CD8 memory"
"899","CD4 naive I"
"900","Non classical monocytes"
"901","CD4 naive II"
"902","Classical monocytes"
"903","CD8 effector"
"904","CD4 naive I"
"905","CD4 memory"
"906","CD4 memory"
"907","CD56dim CD16bright NK"
"908","CD56dim CD16bright NK"
"909","Neutrophils"
"910","CD4 naive II"
"911","gdT cells"
"912","NK-T doublets"
"913","Classical monocytes"
"914","CD56dim CD16bright NK"
"915","Classical monocytes"
"916","CD8 memory"
"917","gdT cells"
"918","Neutrophils"
"919","CD8 effector"
"920","CD4 naive II"
"921","CD56dim CD16bright NK"
"922","Regulatory T cells"
"923","gdT cells"
"924","Classical monocytes"
"925","CD8 effector"
"926","CD56dim CD16bright NK"
"927","Classical monocytes"
"928","CD56dim CD16bright NK"
"929","CD8 memory"
"930","CD4 memory"
"931","Naive B"
"932","Naive B"
"933","CD8 naive"
"934","Neutrophils"
"935","Classical monocytes"
"936","CD4 naive I"
"937","gdT cells"
"938","Classical monocytes"
"939","CD8 effector"
"940","CD4 and CD8 activated memory"
"941","CD8 effector"
"942","NK-monocyte doublets"
"943","CD56dim CD16bright NK"
"944","CD8 naive"
"945","CD4 memory"
"946","Classical monocytes"
"947","Neutrophils"
"948","CD56dim CD16bright NK"
"949","CD56dim CD16bright NK"
"950","CD8 naive"
"951","CD56bright CD16dim NK"
"952","CD56dim CD16bright NK"
"953","Platelet-bound monocytes"
"954","CD56dim CD16bright NK"
"955","CD8 effector"
"956","CD8 naive"
"957","CD56dim CD16bright NK"
"958","gdT cells"
"959","T-NK-B cell doublets"
"960","CD56bright CD16dim NK"
"961","Classical monocytes"
"962","Classical monocytes"
"963","CD8 memory"
"964","CD56dim CD16bright NK"
"965","CD56dim CD16bright NK"
"966","CD4 naive II"
"967","CD8 naive"
"968","CD4 naive I"
"969","CD56dim CD16bright NK"
"970","CD8 naive"
"971","NK-monocyte doublets"
"972","CD56bright CD16dim NK"
"973","CD56dim CD16bright NK"
"974","Regulatory T cells"
"975","CD56dim CD16bright NK"
"976","CD4 memory"
"977","Neutrophils"
"978","Classical monocytes"
"979","CD56dim CD16bright NK"
"980","CD4 naive II"
"981","MAIT-NKT cells"
"982","MAIT-NKT cells"
"983","CD56dim CD16bright NK"
"984","gdT cells"
"985","CD4 naive I"
"986","CD56dim CD16bright NK"
"987","gdT cells"
"988","NK-monocyte doublets"
"989","CD4 naive I"
"990","T-NK-B cell doublets"
"991","CD8 naive"
"992","CD8 naive"
"993","Non classical monocytes"
"994","Naive B"
"995","NK-T doublets"
"996","Neutrophils"
"997","Naive B"
"998","CD56dim CD16bright NK"
"999","MAIT-NKT cells"
"1000","MAIT-NKT cells"
"1001","Regulatory T cells"
"1002","Neutrophils"
"1003","Non classical monocytes"
"1004","CD4 naive I"
"1005","CD8 effector"
"1006","Naive B"
"1007","CD8 memory"
"1008","T-NK-B cell doublets"
"1009","T-NK-B cell doublets"
"1010","CD56dim CD16bright NK"
"1011","NK-T doublets"
"1012","T-NK-B cell doublets"
"1013","CD4 memory"
"1014","CD4 memory"
"1015","Naive B"
"1016","CD56dim CD16bright NK"
"1017","CD56dim CD16bright NK"
"1018","Naive B"
"1019","CD56dim CD16bright NK"
"1020","CD8 naive"
"1021","NK-monocyte doublets"
"1022","CD8 memory"
"1023","Classical monocytes"
"1024","gdT cells"
"1025","CD56dim CD16bright NK"
"1026","MAIT-NKT cells"
"1027","CD56bright CD16dim NK"
"1028","CD4 memory"
"1029","CD56dim CD16bright NK"
"1030","CD8 memory"
"1031","Memory B"
"1032","Naive B"
"1033","Classical monocytes"
"1034","MAIT-NKT cells"
"1035","CD4 naive II"
"1036","CD4 naive II"
"1037","CD56dim CD16bright NK"
"1038","CD56dim CD16bright NK"
"1039","NK-monocyte doublets"
"1040","MAIT-NKT cells"
"1041","Naive B"
"1042","CD4 naive I"
"1043","Platelets"
"1044","MAIT-NKT cells"
"1045","Neutrophils"
"1046","MAIT-NKT cells"
"1047","Platelet-bound monocytes"
"1048","Classical monocytes"
"1049","gdT cells"
"1050","CD56dim CD16bright NK"
"1051","Classical monocytes"
"1052","Classical monocytes"
"1053","Neutrophils"
"1054","Classical monocytes"
"1055","MAIT-NKT cells"
"1056","CD56dim CD16bright NK"
"1057","CD56dim CD16bright NK"
"1058","Classical monocytes"
"1059","CD4 naive I"
"1060","CD56dim CD16bright NK"
"1061","CD56dim CD16bright NK"
"1062","NK-T doublets"
"1063","Naive B"
"1064","CD4 memory"
"1065","Classical monocytes"
"1066","MAIT-NKT cells"
"1067","Non classical monocytes"
"1068","CD4 memory"
"1069","CD8 memory"
"1070","CD4 memory"
"1071","CD4 naive II"
"1072","CD4 memory"
"1073","CD8 naive"
"1074","NK-T doublets"
"1075","MAIT-NKT cells"
"1076","NK-T doublets"
"1077","CD56dim CD16bright NK"
